area,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
Bayview Hunters Point,2949031.4,3397922.89,3603746.6,3238831.7,2241349.19,2740673.05,2996372.25,2427499.44,2352774.84,3237884.96,3153966.01,2894941.87,2764935.22,3061227.66,2985351.73,2898340.64,2773152.54,3403331.12,3029022.22,2864026.23,2745924.81,2844217.82,2716935.92,2595644.36,2478447.38,2708224.49,2665197.19
Excelsior,162835.22,173095.9,172197.92,171801.77,87953.81,153933.73,149643.62,132061.91,120643.99,183265.47,164521.81,158333.25,166648.06,190245.4,171125.85,186272.85,181758.41,171111.24,179666.64,169838.76,180944.16,176310.07,161839.91,188303.48,169124.62,191093.01,173582.37
Inner Richmond,630450.66,691382.42,711369.32,695014.63,428198.37,586447.57,571489.97,565201.38,588913.38,762256.68,728009.63,756778.13,762143.46,808262.99,808824.31,917854.66,815139.94,747266.48,566469.16,822087.23,744301.13,736352.73,732650.39,824655.79,738803.23,824032.52,775941.83
Mission,3551567.39,3731289.83,3923585.21,4010635.39,2090562.46,2587014.51,2835961.27,2474197.2,2670713.91,3356816.61,3000287.96,3439335.88,3366936.75,3819495.05,3752667.42,3727359.6,3378293.17,3559128.7,3625164.93,4076960.77,3150897.14,3440265.9,3477672.92,3544461.01,3679348.86,3616643.17,3582094.16
Outer Richmond,534103.93,558399.57,567121.06,596952.85,245585.5,417351.96,367783.31,321298.85,322539.45,474497.24,455031.02,502211.06,426351.24,482664.66,510438.73,500019.0,451628.59,506680.07,486359.39,477861.17,481623.74,487395.57,462539.85,481224.57,470583.98,465639.07,489745.73
Sunset-Parkside,823591.72,766165.91,743125.87,792780.84,396813.18,698798.85,663090.9,584951.66,561386.09,740687.61,767067.82,804150.35,740996.41,869904.41,833808.66,863418.73,826648.16,850504.91,848100.75,793738.7,873902.14,862280.49,869131.56,857437.61,831247.2,871082.12,876299.93
Tenderloin,2129438.95,2655256.68,2120191.41,1562631.89,1125678.56,761131.3,594243.31,454891.65,584573.54,800872.77,788043.9,943068.0,776445.38,1007346.93,1573698.08,1040172.93,1018421.66,1732987.3,1179935.25,1106112.52,1173797.97,2446219.77,1038829.78,989184.79,2149333.25,1557872.67,1108866.82
