"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US06075","San Francisco County, California","669238","166","24717","1181","294","126","545","342","395","177","939","236","1938","347","866","245","3356","422","6867","759","1236","288","5300","713","6779","641","3608","484","4693","614","13438","1030","65015","2308","10761","1054","21599","1359","58996","2398","35545","1373","234704","3755","111703","2658","33093","1522","22851","1287",
"1400000US06075010800","Census Tract 108; San Francisco County; California","4137","508","145","86","0","14","0","14","0","14","0","14","0","14","0","14","40","50","70","83","14","20","0","14","52","58","0","14","0","14","210","194","248","132","27","48","179","136","72","54","133","109","1873","533","888","283","126","105","60","54",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","1803","245","7","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","19","0","14","0","14","7","14","0","14","0","14","18","28","43","35","0","14","35","34","51","45","7","14","993","240","371","135","227","134","34","47",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","2198","449","0","14","0","14","0","14","0","14","80","97","0","14","0","14","0","14","0","14","0","14","14","23","0","14","0","14","51","76","0","14","156","109","0","14","38","57","251","129","65","53","835","359","309","129","233","189","166","154",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","2070","355","15","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","11","19","18","28","0","14","148","88","0","14","0","14","0","14","133","117","0","14","30","40","73","62","156","114","920","239","314","106","135","84","117","62",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","1590","475","94","99","0","14","0","14","0","14","0","14","0","14","12","18","7","13","35","53","0","14","6","16","0","14","21","29","0","14","6","13","313","224","12","19","50","54","128","152","40","49","490","213","325","102","51","43","0","14",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","2050","346","216","198","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","18","29","28","43","21","32","68","59","221","166","18","28","28","29","226","164","48","47","721","196","247","99","113","74","77","53",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","2002","430","260","234","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","22","27","10","17","0","14","12","30","27","41","216","109","9","14","35","38","262","140","66","52","572","192","438","223","64","53","9","15",
"1400000US06075011200","Census Tract 112; San Francisco County; California","2273","346","22","35","0","14","0","14","0","14","0","14","0","14","0","14","0","14","73","77","0","14","0","14","0","14","0","14","0","14","26","30","139","106","13","19","29","32","253","98","175","110","646","167","545","218","288","109","64","48",
"1400000US06075011300","Census Tract 113; San Francisco County; California","2188","452","391","211","0","14","11","18","11","18","10","16","0","14","0","14","58","52","89","77","18","20","36","43","87","90","21","28","13","19","100","75","173","86","46","49","83","65","164","99","85","54","583","240","166","71","25","29","18","24",
"1400000US06075011700","Census Tract 117; San Francisco County; California","1710","245","53","47","0","14","0","14","0","14","0","14","0","14","0","14","0","14","123","107","0","14","16","22","36","60","0","14","13","22","53","61","150","90","25","57","94","86","258","159","14","21","612","150","155","111","91","74","17","28",
"1400000US06075011800","Census Tract 118; San Francisco County; California","1415","225","170","100","0","14","5","8","18","22","5","9","19","22","0","14","55","47","77","49","26","27","67","60","47","36","43","37","7","10","91","59","340","101","9","13","20","19","63","44","29","26","224","101","62","40","34","37","4","7",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","1728","248","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","26","30","0","14","16","28","0","14","61","55","130","62","10","15","53","46","211","91","112","49","880","204","131","59","44","29","54","32",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","2411","555","75","92","0","14","209","308","0","14","0","14","0","14","0","14","44","70","0","14","0","14","25","32","16","26","7","10","0","14","0","14","260","207","29","33","47","44","243","107","181","124","851","211","252","112","74","44","98","100",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","1497","333","0","14","0","14","0","14","0","14","0","14","41","65","0","14","0","14","0","14","0","14","10","16","0","14","0","14","0","14","0","14","40","52","13","20","113","96","285","125","54","56","559","190","309","159","59","45","14","17",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","1762","321","65","86","0","14","0","14","0","14","0","14","0","14","0","14","19","23","15","25","8","13","0","14","10","17","41","61","0","14","19","22","94","84","57","66","58","79","113","115","77","60","962","322","142","88","59","57","23","26",
"1400000US06075012100","Census Tract 121; San Francisco County; California","2723","389","266","126","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","60","90","0","14","0","14","272","208","21","34","111","100","202","101","129","99","1171","233","386","255","19","24","86","79",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","2744","369","60","68","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","7","20","20","23","47","76","94","85","111","108","614","260","228","150","154","125","317","166","200","113","630","199","196","111","40","45","26","69",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","1610","427","67","47","0","14","0","14","0","14","0","14","0","14","0","14","0","14","50","42","0","14","190","262","63","47","0","14","15","26","0","14","122","128","21","34","100","84","293","230","47","57","347","184","225","137","0","14","70","74",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","2104","402","44","43","0","14","0","14","0","14","0","14","0","14","0","14","0","14","58","56","0","14","35","47","0","14","12","18","12","18","90","114","107","79","29","33","73","52","341","284","232","169","544","184","283","154","200","95","44","50",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","1655","279","221","112","0","14","0","14","0","14","0","14","0","14","15","23","0","14","0","14","23","26","0","14","31","42","0","14","58","63","68","69","112","85","136","76","145","95","240","91","152","103","353","223","75","51","26","38","0","14",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","2294","218","64","53","0","14","0","14","0","14","0","14","10","16","0","14","0","14","0","14","0","14","62","76","37","47","12","19","0","14","80","68","254","119","55","55","151","102","312","120","199","148","601","165","292","109","34","41","131","90",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","2175","495","182","174","0","14","0","14","0","14","0","14","0","14","38","47","0","14","229","177","0","14","0","14","378","108","126","192","37","48","21","48","208","113","196","242","56","95","85","89","11","21","527","251","32","41","23","39","26","43",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","2381","456","152","98","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","22","36","40","50","44","30","68","92","230","183","623","327","14","22","121","86","277","123","332","351","282","100","53","49","102","158","21","31",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","3253","510","21","40","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","43","72","0","14","30","49","313","173","43","34","93","64","225","134","114","83","1658","410","550","213","55","47","108","93",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","1297","224","122","111","0","14","0","14","19","36","0","14","0","14","0","14","0","14","96","93","0","14","0","14","68","82","34","74","0","14","44","49","176","90","49","59","10","15","38","37","227","132","237","103","103","58","55","56","19","29",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","4006","477","342","286","0","14","0","14","0","14","52","77","65","94","42","67","161","126","270","209","53","86","249","232","322","286","33","34","118","99","120","114","600","263","330","193","155","78","450","332","217","136","224","129","132","122","71","80","0","14",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","3687","542","206","195","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","3","6","60","78","199","183","0","14","125","93","204","129","980","382","244","157","309","167","536","237","174","141","468","228","148","126","9","18","22","55",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","619","213","79","82","0","14","0","14","0","14","25","42","0","14","0","14","0","14","83","72","36","56","4","8","59","80","0","14","30","44","0","14","96","71","30","40","0","14","28","30","77","73","47","58","25","51","0","14","0","14",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","1672","253","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","14","19","0","14","0","14","0","14","54","71","0","14","25","30","72","63","156","95","842","213","377","134","100","44","32","27",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","2380","400","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","47","76","0","14","12","17","18","32","0","14","0","14","33","30","27","44","35","41","92","55","32","26","1332","295","632","140","110","59","10","15",
