"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1400000US06075011200","Census Tract 112; San Francisco County; California","1660","213","43","45","107","101","169","132","15","23","11","18","19","32","0","14","33","39","8","14","96","59","72","49","66","56","199","142","75","51","184","106","563","141",
"1400000US06075011300","Census Tract 113; San Francisco County; California","1362","170","75","48","318","142","104","70","64","47","105","87","73","67","35","32","18","21","0","14","60","58","17","20","105","79","137","79","62","55","50","41","139","86",
"1400000US06075011700","Census Tract 117; San Francisco County; California","1105","178","15","23","82","93","82","95","70","85","28","31","161","110","15","24","20","32","35","56","76","79","45","51","9","13","106","75","51","48","53","42","257","96",
"1400000US06075011800","Census Tract 118; San Francisco County; California","654","100","94","49","98","59","30","32","52","29","14","17","19","22","5","9","38","43","28","38","31","30","21","23","71","47","92","63","8","10","32","22","21","18",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","1219","144","55","43","11","18","0","14","79","62","40","37","32","29","81","64","53","42","76","74","52","41","56","42","80","62","105","79","32","29","161","64","306","114",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","1745","213","84","68","77","72","108","112","12","18","47","43","77","74","22","24","31","29","81","105","11","19","312","156","234","90","87","51","77","53","200","83","285","153",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","1002","187","29","28","74","71","60","72","24","27","9","14","8","12","26","41","54","67","10","15","10","16","145","85","236","130","70","51","9","16","117","102","121","71",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","1363","231","78","59","29","26","64","62","108","105","184","224","0","14","15","19","59","50","0","14","76","70","144","104","197","102","117","86","31","48","83","80","178","92",
"1400000US06075012100","Census Tract 121; San Francisco County; California","1984","305","184","134","43","48","37","41","17","28","154","125","39","44","19","30","69","83","37","43","98","70","27","33","258","154","207","105","183","103","89","63","523","310",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","1374","170","172","102","58","53","93","68","48","48","121","100","42","38","54","77","14","23","0","14","138","117","54","44","107","79","43","40","130","109","36","34","264","140",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","1058","301","204","157","224","258","0","14","169","76","54","41","96","39","27","29","73","65","29","46","0","14","41","40","95","47","14","29","0","14","0","14","32","26",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","1519","314","74","68","54","87","17","27","272","305","21","34","26","32","32","44","15","22","18","28","134","98","176","93","98","68","145","112","193","138","73","61","171","125",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","1190","184","103","68","354","134","97","71","83","83","52","45","55","47","69","72","17","25","65","53","57","55","85","48","37","33","24","25","22","32","70","57","0","14",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","1889","205","169","94","139","72","228","104","55","44","73","41","221","154","10","15","50","43","106","84","49","42","162","107","177","69","185","83","95","61","71","55","99","75",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","1222","273","209","166","245","237","122","106","0","14","74","68","0","14","60","65","0","14","71","75","28","34","12","19","283","160","84","90","0","14","22","34","12","20",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","1541","347","221","145","102","72","294","357","121","96","15","24","38","40","15","19","35","28","102","68","73","70","148","99","219","142","57","63","59","57","42","45","0","14",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","2579","380","111","85","157","118","136","98","0","14","30","50","0","14","33","39","102","76","131","153","96","137","169","102","214","115","167","115","139","120","466","324","628","175",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","951","128","125","80","200","96","37","43","23","25","78","84","32","37","0","14","11","18","15","23","18","27","102","91","94","64","13","20","0","14","38","45","165","98",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","2250","323","98","88","693","207","421","328","194","139","50","61","33","50","41","41","189","175","65","75","186","148","58","51","12","20","153","155","0","14","0","14","57","64",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","2224","300","282","152","407","172","44","53","91","102","72","66","73","133","0","14","24","38","87","119","263","199","223","196","195","178","174","84","212","166","35","69","42","54",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","342","92","63","32","64","48","52","43","21","23","4","8","25","42","0","14","11","12","0","14","0","14","64","72","22","33","0","14","0","14","16","23","0","14",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","1282","166","14","17","21","25","7","12","9","15","21","32","18","19","39","43","31","45","0","14","9","15","87","51","116","76","79","53","137","74","211","89","483","144",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","1470","182","71","60","58","76","9","15","8","15","0","14","0","14","0","14","19","25","0","14","23","21","38","35","31","27","152","80","12","15","240","120","809","156",
"1400000US06075012700","Census Tract 127; San Francisco County; California","1996","293","86","126","17","28","0","14","14","25","0","14","9","17","0","14","25","40","48","67","20","41","74","77","136","102","43","50","48","49","301","164","1175","295",
