"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total:!!With an Internet subscription!!Dial-up alone","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Other service","Margin of Error!!Total:!!With an Internet subscription!!Other service","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","947","144","602","154","17","28","468","129","0","14","0","14","29","35","316","132",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","2270","314","1336","347","0","14","1032","358","42","67","42","49","226","146","708","239",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","2205","301","1588","336","0","14","1178","358","47","77","69","103","265","170","352","201",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","333","98","236","94","0","14","168","74","26","42","0","14","51","45","46","49",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","1291","158","1253","158","0","14","1197","160","72","59","0","14","29","46","9","16",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","1425","178","1357","169","0","14","1307","171","5","8","14","24","47","76","21","30",
"1400000US06075012700","Census Tract 127; San Francisco County; California","2074","293","2074","293","0","14","1850","307","249","218","0","14","0","14","0","14",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","1210","167","1107","193","0","14","1032","187","40","36","9","15","32","31","71","73",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","935","165","917","169","0","14","823","178","15","23","10","15","18","30","0","14",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","1454","175","1438","176","0","14","1405","178","68","52","6","10","11","16","5","9",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","1700","210","1556","207","0","14","1458","206","86","45","0","14","49","41","95","89",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","863","139","848","136","0","14","779","134","39","36","0","14","15","25","0","14",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","1253","284","1214","279","0","14","1177","281","14","24","0","14","29","48","10","16",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","2343","264","2286","263","0","14","2213","276","94","88","0","14","18","28","39","39",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","1565","306","1443","309","0","14","1380","307","53","43","0","14","56","51","66","64",
"1400000US06075013200","Census Tract 132; San Francisco County; California","2209","317","2172","317","0","14","1944","316","139","100","0","14","37","41","0","14",
"1400000US06075013300","Census Tract 133; San Francisco County; California","1999","199","1841","228","12","20","1664","233","122","82","0","14","18","32","140","101",
"1400000US06075013401","Census Tract 134.01; San Francisco County; California","797","236","797","236","0","14","797","236","62","80","10","15","0","14","0","14",
