area,adj_2019Q1,adj_2019Q2,adj_2019Q3,adj_2019Q4,adj_2020Q1,adj_2020Q2,adj_2020Q3,adj_2020Q4,adj_2021Q1,adj_2021Q2,adj_2021Q3,adj_2021Q4,adj_2022Q1,adj_2022Q2,adj_2022Q3,adj_2022Q4,adj_2023Q1,adj_2023Q2,adj_2023Q3,adj_2023Q4,adj_2024Q1,adj_2024Q2,adj_2024Q3,adj_2024Q4,adj_2025Q1,adj_2025Q2,adj_2025Q3
Bayview Hunters Point,2949031.4,3397922.89,3603746.6,3238831.7,2207370.5394741874,2723089.163357796,2955838.10718361,2394881.0287958104,2257953.955525319,3052535.0660638353,2952167.834791258,2668290.7299853656,2444668.814327592,2646246.8032417963,2582531.214937165,2509453.220967058,2335509.7535518627,2857141.0317957187,2526824.2730733724,2399314.991647878,2234864.1143130385,2318855.6857428495,2212481.8820215603,2113442.7964279396,1970069.5777371412,2150578.4814099353,2106876.1247143163
Excelsior,162835.22,173095.9,172197.92,171801.77,86620.43821405187,152946.10644573052,147619.28011211008,130287.38860822961,115781.82909795867,172774.59838278807,153995.31702741425,145937.00398670023,147344.97658509098,164455.681672972,148035.43745502146,161279.52558785968,153074.35607025007,143650.126175629,149878.73777087554,142281.05830961122,147267.54658606867,143743.4240789687,131791.06140383318,153321.7105860807,134433.8683149103,151745.3655600956,137219.3218560037
Inner Richmond,630450.66,691382.42,711369.32,695014.63,421706.9215300932,582684.9805176551,563759.002640349,557606.7454875343,565179.1549389339,718621.9627276072,681429.8588792607,697528.3648561343,673863.2917069675,698694.6385641099,699687.7476728727,794700.6991271474,686499.301037252,627339.9932045268,472551.17971220554,688696.9800487048,605774.7392142336,600339.2928157555,596619.0449317002,671456.7164001204,587260.306231289,654357.3518508438,613393.0059389471
Mission,3551567.39,3731289.83,3923585.21,4010635.39,2058869.7226310752,2570416.4813203015,2797597.1251111496,2440951.309047352,2563079.5325748175,3164658.577731103,2808322.468454085,3170062.9781246902,2976939.6450953726,3301723.258981779,3246311.1981206033,3227237.828719293,2845150.6129167494,2987935.1399142602,3024129.2647296367,3415441.1692735357,2564464.591467669,2804806.329032227,2831972.6904332056,2885994.593190031,2924642.7878439897,2871946.179151571,2831696.1651091133
Outer Richmond,534103.93,558399.57,567121.06,596952.85,241862.44608410978,414674.2711912085,362808.0332422392,316981.54395409906,309540.5538000657,447335.06030754955,425917.0634106668,462891.8907771106,376966.36537397734,417234.5070091221,441564.03424459585,432928.5083946266,380355.19565320236,425364.5522420184,405723.2409768056,400324.3605444896,391985.82903922745,397367.5928591071,376659.98314673913,391825.86667251785,374058.0454721872,369760.10214195144,387150.93561905785
Sunset-Parkside,823591.72,766165.91,743125.87,792780.84,390797.52816519764,694315.4258410686,654120.7791343939,577091.6401515699,538761.2622091763,698287.5952838097,717989.0138725529,741191.7132620999,655165.7347891508,751979.9308518077,721300.9006931755,747568.7581849546,696191.360766509,714010.0067914418,707489.5479346241,664948.2265255292,711254.9203804926,703006.6413625209,707759.7286847808,698148.5476850494,660742.2185009959,691719.0468257477,692727.505316718
Tenderloin,2129438.95,2655256.68,2120191.41,1562631.89,1108613.3750813396,756247.9570200583,586204.5413873137,448779.2519295592,561014.2179769478,755027.5084142201,737622.9948601947,869233.2057589256,686508.5998342979,870790.7053433385,1361355.3048526996,900606.8070560686,857700.2836484713,1454865.5266934112,984307.4146728767,926636.8875697808,955335.3212925348,1994372.7876091667,845950.0460925276,805420.6119214207,1708463.1622253351,1237093.6948726287,876574.9256046182
